ranking,route,passengers,distance_km,origin_hub,origin_hub_qid,origin_hub_latitude,origin_hub_longitude,destination_hub,destination_hub_qid,destination_hub_latitude,destination_hub_longitude
677,Geneva - Bristol,215905,864.6894633683079,Geneva,Q71,46.2,6.15,Bristol,Q23154,51.45,-2.5833333333333
678,Milan - Stockholm,215253,1651.5766639073674,Milan,Q490,45.466944444444,9.19,Stockholm,Q1754,59.329444444444,18.068611111111
679,Helsinki - Kittilä,215215,831.4696478316877,Helsinki,Q1757,60.17556,24.93417,Kittilä,Q593942,67.6531279,24.9114375
680,Zürich - Hanover,214987,562.0910635867502,Zürich,Q72,47.378611111111,8.54,Hanover,Q1715,52.374444444444,9.7386111111111
681,Basel - Edinburgh,214942,1189.5497289666203,Basel,Q78,47.560555555556,7.5905555555556,Edinburgh,Q23436,55.95,-3.1988888888889
682,Lisbon - Copenhagen,214741,2478.763288457656,Lisbon,Q597,38.708042,-9.139016,Copenhagen,Q1748,55.676111111111,12.568888888889
683,Geneva - Bordeaux,214552,545.5470450946771,Geneva,Q71,46.2,6.15,Bordeaux,Q1479,44.837777777778,-0.57944444444444
684,Lisbon - Düsseldorf,214215,1864.3712744041488,Lisbon,Q597,38.708042,-9.139016,Düsseldorf,Q1718,51.231144444444,6.7723805555556
685,Basel - Copenhagen,213960,965.0335202187935,Basel,Q78,47.560555555556,7.5905555555556,Copenhagen,Q1748,55.676111111111,12.568888888889
686,Basel - Naples,213808,916.5208160523309,Basel,Q78,47.560555555556,7.5905555555556,Naples,Q2634,40.833333333333,14.25
687,Geneva - Athens,213554,1708.3590246069673,Geneva,Q71,46.2,6.15,Athens,Q1524,37.9841666666667,23.7280555555556
688,Manchester - Aberdeen,213230,409.6553242418608,Manchester,Q18125,53.466666666667,-2.2333333333333,Aberdeen,Q36405,57.15,-2.1
689,Vienna - Belgrade,213021,490.1192587032113,Vienna,Q1741,48.20833,16.373064,Belgrade,Q3711,44.816666666667,20.466666666667
690,Seville - Valencia,213013,540.5976121996312,Seville,Q8717,37.383333333333,-5.9833333333333,Valencia,Q8818,39.47,-0.376388888888889
691,Milan - Helsinki,212457,1936.8525541247602,Milan,Q490,45.466944444444,9.19,Helsinki,Q1757,60.17556,24.93417
692,London - Innsbruck,212418,956.3329124595751,London,Q84,51.507222222222,-0.1275,Innsbruck,Q1735,47.268333333333,11.393333333333
693,Amsterdam - Kraków,211265,1076.4020572559523,Amsterdam,Q727,52.383333333333,4.9,Kraków,Q31487,50.061388888889,19.937222222222
694,London - Region of Murcia,210792,1507.8543978383645,London,Q84,51.507222222222,-0.1275,Region of Murcia,Q5772,38,-1.8333333333333
695,Madrid - Almería,210688,411.91031720826555,Madrid,Q2807,40.418888888889,-3.6919444444444,Almería,Q10400,36.84,-2.4675
696,Trondheim - Bodø,210380,465.1070913310282,Trondheim,Q25804,63.44,10.4,Bodø,Q39383,67.28267,14.37513
697,Munich - Birmingham,210237,1069.743738616758,Munich,Q1726,48.1375,11.575,Birmingham,Q2256,52.48,-1.9025
698,Oslo - Budapest,209873,1481.4426136848601,Oslo,Q585,59.911111111111,10.752777777778,Budapest,Q1781,47.498333333333,19.040833333333
699,Munich - Dresden,209867,359.4502334366007,Munich,Q1726,48.1375,11.575,Dresden,Q1731,51.05,13.74
700,Oslo - Kraków,209820,1239.5170084574063,Oslo,Q585,59.911111111111,10.752777777778,Kraków,Q31487,50.061388888889,19.937222222222
701,Munich - Florence,209195,486.1220088123044,Munich,Q1726,48.1375,11.575,Florence,Q2044,43.771388888889,11.254166666667
702,Lyon - Nice,209049,298.41507837319494,Lyon,Q456,45.758888888889,4.8413888888889,Nice,Q33959,43.701944444444,7.2683333333333
703,Manchester - Kraków,208781,1565.037918323063,Manchester,Q18125,53.466666666667,-2.2333333333333,Kraków,Q31487,50.061388888889,19.937222222222
