speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
grefla3,Greater Flamingo,Phoenicopterus roseus,L12367842,"Passeio do Tejo, Sacavém, Lisboa, PT (38,787, -9,091)",2020-10-04 09:26,12,38.7871232,-9.091229,TRUE,FALSE,TRUE,S74396312
grefla3,Greater Flamingo,Phoenicopterus roseus,L12422299,"1 EM527, Faro, Faro, PT (37,016, -7,988)",2020-10-04 08:15,NA,37.015857,-7.988178,TRUE,FALSE,TRUE,S74394334
grefla3,Greater Flamingo,Phoenicopterus roseus,L3782468,Morgado do Reguengo,2020-10-04,18,37.1885616,-8.548007,TRUE,FALSE,FALSE,S74505139
grefla3,Greater Flamingo,Phoenicopterus roseus,L12415279,"Olhão, Faro, PT (37,025, -7,869)",2020-10-03 16:03,21,37.0252958,-7.8689722,TRUE,FALSE,TRUE,S74356493
grefla3,Greater Flamingo,Phoenicopterus roseus,L3160224,Ria de Aveiro--frente ribeirinha da Costa Nova,2020-10-03 11:38,27,40.6140753,-8.7486577,TRUE,FALSE,FALSE,S74345792
grefla3,Greater Flamingo,Phoenicopterus roseus,L980669,Sapal de Alhos Vedros,2020-10-03 09:00,200,38.6646535,-9.0214062,TRUE,FALSE,FALSE,S74346457
grefla3,Greater Flamingo,Phoenicopterus roseus,L2455841,RN Estuário do Sado--Península da Carrasqueira,2020-10-02 16:30,30,38.4202269,-8.7889338,TRUE,FALSE,FALSE,S74410306
grefla3,Greater Flamingo,Phoenicopterus roseus,L4665596,Parque Ribeirinho de Faro,2020-10-02 16:00,16,37.0238062,-7.946417,TRUE,FALSE,FALSE,S74319408
grefla3,Greater Flamingo,Phoenicopterus roseus,L2514026,ZPE Évora--Herdade da Camoeira,2020-10-02 12:12,6,38.4404134,-7.974937,TRUE,FALSE,FALSE,S74357610
grefla3,Greater Flamingo,Phoenicopterus roseus,L2357920,Lagoa de Melides,2020-10-02 10:30,12,38.1338139,-8.7829256,TRUE,FALSE,FALSE,S74331078
grefla3,Greater Flamingo,Phoenicopterus roseus,L1852633,RN Lagoas de Santo André e da Sancha--Costa de Santo André,2020-10-02 10:30,50,38.1136867,-8.7964635,TRUE,FALSE,FALSE,S74316639
grefla3,Greater Flamingo,Phoenicopterus roseus,L973582,RN Lagoas de Santo André e da Sancha--Lagoa de Santo André,2020-10-02 08:30,200,38.0995774,-8.789835,TRUE,FALSE,FALSE,S74316398
grefla3,Greater Flamingo,Phoenicopterus roseus,L4447071,ETAR Olhão,2020-10-01 14:20,1,37.0219827,-7.8605676,TRUE,FALSE,FALSE,S74273769
grefla3,Greater Flamingo,Phoenicopterus roseus,L8226239,Parque ribeirinho da Baixa da Banheira,2020-10-01 11:00,59,38.66257,-9.0412419,TRUE,FALSE,FALSE,S74277395
grefla3,Greater Flamingo,Phoenicopterus roseus,L1266460,Salinas da Fuseta (oeste),2020-10-01 09:45,18,37.0480203,-7.7582225,TRUE,FALSE,FALSE,S74608925
grefla3,Greater Flamingo,Phoenicopterus roseus,L12466755,"Auto selected 39.77453, 19.99096",2020-10-15 07:42,5,39.774532,19.990956,TRUE,FALSE,TRUE,S74835866
grefla3,Greater Flamingo,Phoenicopterus roseus,L3811665,Narta Lagoon,2020-10-11 06:25,19,40.5263265,19.4272614,TRUE,FALSE,FALSE,S74676004
grefla3,Greater Flamingo,Phoenicopterus roseus,L10292727,Narte Lagoon--Monastery,2020-10-10 07:05,22,40.5243451,19.4115073,TRUE,FALSE,FALSE,S74628866
grefla3,Greater Flamingo,Phoenicopterus roseus,L12493699,"Burgas, Burgas, BG (42.572, 27.472)",2020-10-14 13:12,300,42.5715778,27.4723328,TRUE,FALSE,TRUE,S74804966
grefla3,Greater Flamingo,Phoenicopterus roseus,L2205561,Atanasovsko Lake--Southwest,2020-10-08 09:11,NA,42.5312106,27.4724132,TRUE,FALSE,FALSE,S74568624
grefla3,Greater Flamingo,Phoenicopterus roseus,L2687928,Atanasovsko Lake--Northeast,2020-10-07 08:50,20,42.5902469,27.476635,TRUE,FALSE,FALSE,S74535490
grefla3,Greater Flamingo,Phoenicopterus roseus,L10064672,Atanasovsko Lake--South,2020-10-05 08:56,158,42.5125198,27.4809256,TRUE,FALSE,FALSE,S74455148
grefla3,Greater Flamingo,Phoenicopterus roseus,L3924266,Atanasovsko Lake--Migration Observation Point,2020-10-03 21:51,NA,42.5590708,27.4882114,TRUE,FALSE,FALSE,S74368132
grefla3,Greater Flamingo,Phoenicopterus roseus,L3505325,Laguna del Rincón,2020-10-15 10:52,1,37.4598144,-4.6278995,TRUE,FALSE,FALSE,S74837000
grefla3,Greater Flamingo,Phoenicopterus roseus,L6443288,Marisma de Cetina,2020-10-15 09:10,150,36.5665022,-6.1508179,TRUE,FALSE,FALSE,S74836905
grefla3,Greater Flamingo,Phoenicopterus roseus,L5139156,Embalse de Los Canchales--General,2020-10-15 08:20,2,38.973819,-6.5141952,TRUE,FALSE,FALSE,S74836192
grefla3,Greater Flamingo,Phoenicopterus roseus,L4075842,Laguna de Navaseca,2020-10-14 17:37,NA,39.1014798,-3.6180005,TRUE,FALSE,FALSE,S74824842
grefla3,Greater Flamingo,Phoenicopterus roseus,L4135809,Charca de Suárez—Motril,2020-10-14 17:00,5,36.7247808,-3.5408163,TRUE,FALSE,FALSE,S74822179
grefla3,Greater Flamingo,Phoenicopterus roseus,L5705345,El Hondo PNat--Observatorio El Calamon,2020-10-14 16:17,200,38.1907057,-0.7545616,TRUE,FALSE,FALSE,S74806138
grefla3,Greater Flamingo,Phoenicopterus roseus,L4136062,Villacañas--Laguna Larga,2020-10-14 14:31,173,39.603009900000004,-3.3176351,TRUE,FALSE,FALSE,S74824752
grefla3,Greater Flamingo,Phoenicopterus roseus,L4898221,PN Doñana--Laguna de Santa Olalla,2020-10-14 12:15,285,36.977387,-6.474816,TRUE,FALSE,TRUE,S74813217
grefla3,Greater Flamingo,Phoenicopterus roseus,L5578500,Clot de Galvany--Charca Limícolas,2020-10-14 10:14,4,38.2429622,-0.5287144,TRUE,FALSE,FALSE,S74800260
grefla3,Greater Flamingo,Phoenicopterus roseus,L2490116,Salar de los Canos,2020-10-14 09:39,10,37.2219222,-1.8118644,TRUE,FALSE,FALSE,S74800138
grefla3,Greater Flamingo,Phoenicopterus roseus,L7159847,La Guardia--Lagunas del arroyo Cedrón,2020-10-14 08:35,2,39.8133736,-3.4631214,TRUE,FALSE,FALSE,S74797949
grefla3,Greater Flamingo,Phoenicopterus roseus,L3481440,Lagunas de Campillos--Laguna Dulce,2020-10-14 08:30,85,37.0515466,-4.8342419,TRUE,FALSE,FALSE,S74811629
grefla3,Greater Flamingo,Phoenicopterus roseus,L4146814,Salinas de Santa Pola PNat--Torre del Tamarit,2020-10-14 08:19,90,38.1843084,-0.6148524,TRUE,FALSE,FALSE,S74798283
grefla3,Greater Flamingo,Phoenicopterus roseus,L12495038,cristalizador nº 1,2020-10-14 07:00,15,36.7541866,-2.2131014,TRUE,FALSE,TRUE,S74813058
grefla3,Greater Flamingo,Phoenicopterus roseus,L4830102,Tablas de Alarcos,2020-10-13 19:26,3,38.9849661,-4.0268326,TRUE,FALSE,FALSE,S74777642
grefla3,Greater Flamingo,Phoenicopterus roseus,L977607,Desembocadura del Guadalhorce--Área General,2020-10-13 18:15,6,36.6728249,-4.4560289,TRUE,FALSE,FALSE,S74780406
grefla3,Greater Flamingo,Phoenicopterus roseus,L4309680,Embalse de Los Canchales--Cola del Lácara,2020-10-13 18:00,1,38.9820305,-6.4973831,TRUE,FALSE,FALSE,S74779275
grefla3,Greater Flamingo,Phoenicopterus roseus,L3983544,Salinas de San Pedro del Pinatar,2020-10-13 12:37,NA,37.8340132,-0.7742357,TRUE,FALSE,FALSE,S74768697
grefla3,Greater Flamingo,Phoenicopterus roseus,L4842221,Embalse del Cubillas,2020-10-13 12:05,1,37.2738479,-3.6711502,TRUE,FALSE,FALSE,S74780032
grefla3,Greater Flamingo,Phoenicopterus roseus,L4803910,Embalse del Ebro RNat--Cabañas de Virtus,2020-10-13 11:55,2,43.0035173,-3.8879585,TRUE,TRUE,FALSE,S74768741
grefla3,Greater Flamingo,Phoenicopterus roseus,L4237887,Embalse de Alcollarín--General,2020-10-13 11:50,1,39.2569806,-5.7489824,TRUE,FALSE,FALSE,S74768108
grefla3,Greater Flamingo,Phoenicopterus roseus,L5123876,Urdaibai Reserva de la Biosfera--Ozollo,2020-10-13 11:14,3,43.356639,-2.6588416,TRUE,TRUE,FALSE,S74768173
grefla3,Greater Flamingo,Phoenicopterus roseus,L5998478,Laguna de Baños de San Jose,2020-10-13 11:00,NA,38.7872749,-1.4216137,TRUE,FALSE,FALSE,S74775533
grefla3,Greater Flamingo,Phoenicopterus roseus,L5287538,Puerto de Los Urrutias,2020-10-13 10:26,9,37.677675,-0.8266167,TRUE,FALSE,FALSE,S74767435
grefla3,Greater Flamingo,Phoenicopterus roseus,L4146872,Salinas de Santa Pola PNat--Cuadratet,2020-10-13 10:23,NA,38.1799722,-0.61869,TRUE,FALSE,FALSE,S74767766
grefla3,Greater Flamingo,Phoenicopterus roseus,L12487689,"Auto selected 40.76986, 0.72935",2020-10-13 10:10,NA,40.769855,0.729346,TRUE,FALSE,TRUE,S74767303
grefla3,Greater Flamingo,Phoenicopterus roseus,L2779555,Urdaibai RB--bird center y laguna de Orueta,2020-10-13 09:42,3,43.3468523,-2.657007,TRUE,TRUE,FALSE,S74767452
