"id","lat","lon","place","name","country"
130223536,45.9435032,14.4892446,"village","Strahomer","slovenia"
130289713,45.9403673,14.5111894,"village","Iška vas","slovenia"
130290525,45.920023,14.4951619,"village","Gornji Ig","slovenia"
130290996,45.9217776,14.5082883,"village","Iška","slovenia"
130295018,45.9385259,14.4403532,"hamlet","Gorenja Brezovica","slovenia"
130296698,45.9464789,14.4304505,"hamlet","Dolenja Brezovica","slovenia"
130297869,45.9560666,14.4470303,"hamlet","Planinca","slovenia"
130298127,45.956039,14.4174708,"village","Preserje","slovenia"
130300037,45.9558898,14.4087933,"village","Kamnik pod Krimom","slovenia"
130300600,45.9559495,14.3921164,"village","Prevalje pod Krimom","slovenia"
130301446,45.9543682,14.3842887,"village","Goričica pod Krimom","slovenia"
130302437,45.9407613,14.3697146,"village","Pako","slovenia"
130304067,45.9376052,14.3656886,"village","Breg pri Borovnici","slovenia"
130304232,45.9285838,14.3531493,"village","Dol pri Borovnici","slovenia"
130306157,45.9231395,14.3527875,"village","Laze pri Borovnici","slovenia"
130306282,45.9477322,14.3332795,"hamlet","Bistra","slovenia"
130339819,45.970511,14.4340198,"village","Jezero","slovenia"
130339961,45.9920085,14.4612531,"hamlet","Lipe","slovenia"
130342113,46.0082306,14.4997625,"village","Črna vas","slovenia"
134576363,45.8909445,15.6023429,"village","Čatež ob Savi","slovenia"
141505508,46.2727024,14.3163742,"village","Naklo","slovenia"
141506941,46.271677,14.3505252,"village","Mlaka","slovenia"
144602313,46.5672001,15.5776829,"village","Bresternica","slovenia"
144602320,46.5656883,15.5671982,"village","Jelovec","slovenia"
144696454,46.6248885,16.3165187,"village","Turnišče","slovenia"
144701289,46.6187912,15.5655659,"village","Gaj nad Mariborom","slovenia"
144702206,46.6388648,15.6141264,"village","Zgornja Kungota","slovenia"
144702887,46.6370654,15.618682,"village","Plintovec","slovenia"
144703153,46.5960691,15.6648927,"village","Dolnja Počehova","slovenia"
144704058,46.6089489,15.675468,"village","Pesnica pri Mariboru","slovenia"
144704650,46.6371628,15.6686687,"hamlet","Jelenče","slovenia"
144705039,46.6640574,15.6596191,"village","Štrihovec","slovenia"
144705702,46.646598,15.6694172,"hamlet","Kaniža","slovenia"
144706917,46.6804044,15.6528907,"village","Šentilj v Slovenskih goricah","slovenia"
144706988,46.6740628,15.633,"hamlet","Kresnica","slovenia"
145639995,46.115208,14.4644241,"suburb","Brod","slovenia"
146416762,46.6357303,16.295732,"village","Renkovci","slovenia"
146896037,46.0387471,14.4288652,"village","Podsmreka","slovenia"
146896238,46.0447185,14.4292098,"hamlet","Komanija","slovenia"
146898657,46.0477389,14.4271756,"village","Draževnik","slovenia"
146898728,46.0544284,14.4156743,"village","Dobrova","slovenia"
146899372,46.0606369,14.4217974,"village","Stranska vas","slovenia"
146900423,46.0619151,14.4117861,"village","Šujica","slovenia"
146902114,46.0709967,14.4095803,"village","Gabrje","slovenia"
146902770,46.0709103,14.3857822,"village","Hruševo","slovenia"
146902790,46.0730685,14.3764228,"hamlet","Hrastenice","slovenia"
146946621,46.0845727,14.3747597,"hamlet","Osredek pri Dobrovi","slovenia"
147702294,46.1329513,14.8039355,"village","Gora pri Pečah","slovenia"
147703483,46.0634467,14.3458142,"village","Dvor pri Polhovem Gradcu","slovenia"
147703875,46.0595507,14.3422032,"village","Dolenja vas pri Polhovem Gradcu","slovenia"
147703928,46.0649361,14.3619382,"village","Babna Gora","slovenia"
147731669,46.0736433,14.3634973,"hamlet","Log pri Polhovem Gradcu","slovenia"
147732437,46.0603249,14.3270112,"village","Srednja vas pri Polhovem Gradcu","slovenia"
147732709,46.065144,14.3171168,"hamlet","Pristava pri Polhovem Gradcu","slovenia"
147732990,46.0653617,14.3128622,"village","Polhov Gradec","slovenia"
147734150,46.0583595,14.3022061,"village","Briše pri Polhovem Gradcu","slovenia"
148109262,46.061277,14.291869,"village","Praproče","slovenia"
148405864,46.0577429,14.1959405,"hamlet","Dolge Njive","slovenia"
148406153,46.0624063,14.1964297,"village","Lučine","slovenia"
148409638,46.0545895,14.2115596,"village","Planina nad Horjulom","slovenia"
148410362,46.0431366,14.2358947,"village","Butajnova","slovenia"
148578614,46.0344332,14.2932115,"village","Koreno nad Horjulom","slovenia"
148582211,46.0636899,14.3205739,"village","Podreber","slovenia"
148592077,46.0691647,14.3524013,"hamlet","Belica","slovenia"
148596880,46.0933466,14.3700136,"village","Topol pri Medvodah","slovenia"
148597614,46.0790349,14.3594723,"hamlet","Belo","slovenia"
148603437,46.0837798,14.4187642,"hamlet","Toško Čelo","slovenia"
154670287,46.2207502,14.3340903,"village","Zgornje Bitnje","slovenia"
